epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,0.6918841391972133,0.5261219579611272,0.6851805934906006,0.6065493333333334,0.698,0.832,0.296
2,0.6830096697807312,0.6187172552862689,0.6817733497619629,0.665856,0.494,0.37866666666666665,0.84
3,0.666513985157013,0.6656254318847135,0.6369488430023194,0.7618133333333335,0.67,0.6613333333333333,0.696
4,0.6022420672689165,0.7622604217707587,0.5477718200683593,0.8172373333333334,0.69,0.6533333333333333,0.8
5,0.48753845684868946,0.8495156609249557,0.4498756022453308,0.8804266666666667,0.77,0.7493333333333333,0.832
6,0.4074092974662781,0.8978671177113564,0.4086659026145935,0.9066880000000002,0.802,0.7786666666666666,0.872
7,0.3648741391386305,0.9182163475431255,0.3918629231452942,0.910592,0.842,0.8266666666666667,0.888
8,0.3109484705924988,0.9415785621851168,0.36530670142173766,0.9195519999999999,0.87,0.8933333333333333,0.8
9,0.2986356635434287,0.9460466058572989,0.3484872405529022,0.925952,0.866,0.864,0.872
10,0.2636765638589859,0.9589218744110662,0.3497084990739822,0.9280426666666666,0.886,0.904,0.832
11,0.24857122598375592,0.9633910959506489,0.3698472464084625,0.924288,0.878,0.9066666666666666,0.792
12,0.21225379971095493,0.973134022464287,0.3807462100982666,0.9258026666666666,0.884,0.9146666666666666,0.792
13,0.1935695515871048,0.9771493724322491,0.35992567873001097,0.9342506666666666,0.884,0.9226666666666666,0.768
14,0.18993762373924256,0.9774493359968842,0.3825514230728149,0.9312640000000001,0.888,0.928,0.768
15,0.17106806646074568,0.9827858605656276,0.382668319940567,0.9297493333333333,0.88,0.9173333333333333,0.768
16,0.1538273013830185,0.986061117183672,0.40445366263389587,0.9274026666666666,0.876,0.9093333333333333,0.776
17,0.1351309357881546,0.9891926739788676,0.42992908811569214,0.9267413333333334,0.886,0.936,0.736
18,0.1425753861516714,0.9872425181862727,0.4127047629356384,0.9258666666666667,0.894,0.936,0.768
