epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,0.6922057873010635,0.5237925749925749,0.6851683688163758,0.6346375667799903,0.65,0.7535211267605634,0.39655172413793105
2,0.6813973689079285,0.6278648054648055,0.6752264142036438,0.6539658207867898,0.65,0.6971830985915493,0.5344827586206896
3,0.664676485657692,0.6619813483813484,0.6420702815055848,0.7226960903351141,0.69125,0.7693661971830986,0.5
4,0.6039853808283806,0.7538547074547074,0.5588365828990937,0.7989239315201554,0.7575,0.7570422535211268,0.7586206896551724
5,0.49750811487436297,0.844873656073656,0.5565060317516327,0.8343476809130645,0.81875,0.9102112676056338,0.5948275862068966
6,0.4177832105755806,0.8919318087318086,0.4462230098247528,0.877572547353084,0.80875,0.8151408450704225,0.7931034482758621
7,0.37354263514280317,0.9140790020790022,0.43863197803497317,0.8892211024769305,0.825,0.8556338028169014,0.75
8,0.3416895900666714,0.9283392931392931,0.42969953835010527,0.8975306580864498,0.84,0.8626760563380281,0.7844827586206896
9,0.2951938174664974,0.9474943866943868,0.4309486824274063,0.8979025012141817,0.84625,0.8573943661971831,0.8189655172413793
10,0.28091977775096894,0.9524566676566677,0.39883585333824156,0.9093916949975716,0.845,0.8450704225352113,0.8448275862068966
11,0.2577327239513397,0.9592325512325511,0.42545387506484983,0.9023114983001457,0.83125,0.823943661971831,0.8491379310344828
12,0.2269522586464882,0.969341490941491,0.42742118805646895,0.9078739679456047,0.8575,0.8644366197183099,0.8405172413793104
13,0.2129393758997321,0.9730708642708643,0.44243303924798966,0.9064776590577952,0.85125,0.8679577464788732,0.8103448275862069
14,0.18877758115530013,0.9782861894861895,0.431441088616848,0.9081699247207382,0.85625,0.8679577464788732,0.8275862068965517
15,0.1868968177586794,0.9790189486189487,0.4789782190322876,0.9023342642059251,0.8475,0.8591549295774648,0.8189655172413793
