epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1.2065395630427769,0.6120736905255487,0.994481840133667,0.7220266666666667,0.562,0.4826666666666667,0.8
2,0.6652714215687343,0.7840501834332165,0.6599843440055847,0.7736959999999999,0.68,0.6586666666666666,0.744
3,0.46096796236719406,0.8739552316158454,0.5647050614356994,0.8162986666666667,0.748,0.76,0.712
4,0.35119972128527505,0.9257207370623044,0.5458852076530456,0.8352426666666666,0.776,0.7946666666666666,0.72
5,0.30381842173848833,0.9445589593305943,0.5775607919692993,0.8448213333333333,0.734,0.72,0.776
6,0.24571439901420047,0.9629533219001671,0.5811689400672913,0.8571733333333333,0.782,0.7893333333333333,0.76
7,0.19161808236156191,0.9774454097722163,0.615078295469284,0.8634986666666665,0.826,0.872,0.688
8,0.15824841251117844,0.9844026798839094,0.587155140042305,0.8750293333333334,0.832,0.8826666666666667,0.68
9,0.13728634379697696,0.988324585704773,0.5660186311006546,0.8920533333333335,0.838,0.88,0.712
10,0.11664454480792795,0.9919323935521968,0.6052800532579422,0.8818773333333334,0.84,0.88,0.72
11,0.09774321208255632,0.9937498429510133,0.6333001856803894,0.8952960000000001,0.854,0.928,0.632
12,0.07939679817376392,0.9959740492254344,0.6286688150167465,0.9003946666666667,0.85,0.8986666666666666,0.704
13,0.06852786194745983,0.9970376634879952,0.520366533190012,0.909184,0.834,0.8373333333333334,0.824
14,0.04377946984288948,0.9986721508172829,0.5669814655780793,0.9133013333333334,0.848,0.8666666666666667,0.792
15,0.05120082670809435,0.9983490225271067,0.5419379575252533,0.9173866666666667,0.864,0.888,0.792
16,0.03800575262061986,0.9988291998040029,0.5197716447860002,0.9271466666666667,0.868,0.904,0.76
17,0.03905093171593866,0.9990306151294712,0.5760579546689987,0.913344,0.838,0.8613333333333333,0.768
18,0.03919754924997687,0.9987510679331097,0.6117917755842209,0.9016426666666667,0.84,0.8746666666666667,0.736
19,0.03608296182592,0.999048675762944,0.6336677753329277,0.9056853333333333,0.862,0.8986666666666666,0.752
20,0.022539268230487193,0.999753040468383,0.559713348031044,0.9187413333333333,0.858,0.8853333333333333,0.776
21,0.024216303650056944,0.9993694483183194,0.5393791414797307,0.924608,0.884,0.9066666666666666,0.816
