epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,0.6898406663622175,0.5438156857386955,0.6701107559204101,0.6699093333333334,0.632,0.656,0.56
2,0.6730494826180594,0.6303734310806226,0.6574670281410218,0.7186133333333333,0.614,0.5733333333333334,0.736
3,0.6458333274296352,0.6991710954480921,0.6226114587783813,0.7438293333333333,0.694,0.7013333333333334,0.672
4,0.6044732180322919,0.7544682399834155,0.5706190419197082,0.7997653333333333,0.694,0.6666666666666666,0.776
5,0.5399765494891575,0.8154018726521177,0.5292639017105103,0.8194986666666666,0.774,0.8,0.696
6,0.4794827318532126,0.8575345821868757,0.48156429576873777,0.8550613333333333,0.784,0.776,0.808
7,0.432724488735199,0.8842521484301382,0.4723130431175232,0.8726826666666666,0.75,0.7226666666666667,0.832
8,0.38241240981646946,0.912727092834797,0.4218172309398651,0.893376,0.822,0.808,0.864
9,0.34469797577176775,0.9287225321322227,0.39035636687278746,0.9076693333333333,0.846,0.856,0.816
10,0.32636417365074155,0.9365624175492819,0.41435031294822694,0.8979199999999999,0.83,0.8293333333333334,0.832
11,0.2959991476195199,0.9497007431558052,0.40531667733192445,0.898816,0.86,0.872,0.824
12,0.2627076063156128,0.9608135294561081,0.3963358728885651,0.904896,0.882,0.9066666666666666,0.808
13,0.24588175351279123,0.9656867595140277,0.4108137953281403,0.8997760000000001,0.886,0.9093333333333333,0.816
14,0.21486518771307808,0.9743429070395637,0.4038815855979919,0.9071999999999999,0.884,0.9093333333333333,0.808
