epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,0.6924631130695343,0.5171705788602876,0.6894950532913208,0.5802843904777121,0.40375,0.22319859402460457,0.8484848484848485
2,0.6802764356136322,0.6361192160036169,0.6780382037162781,0.6168412723773006,0.6325,0.6731107205623902,0.5324675324675324
3,0.6459268742799759,0.7125181172841265,0.6249356925487518,0.715270962195391,0.67375,0.7065026362038664,0.5930735930735931
4,0.5416150575876236,0.8111799077182005,0.540414263010025,0.8003484506120709,0.72,0.7240773286467487,0.70995670995671
5,0.4536952811479569,0.869791102727613,0.4893924391269684,0.8438058719253798,0.7775,0.7996485061511424,0.7229437229437229
6,0.3868697354197502,0.9082325129029256,0.47628643572330476,0.8556060225656007,0.78625,0.8101933216168717,0.7272727272727273
7,0.345803452283144,0.9260477631446477,0.45349527180194854,0.8738274028256453,0.805,0.8101933216168717,0.7922077922077922
8,0.29940909400582316,0.9454130740780843,0.4467753791809082,0.8867459429849589,0.8,0.7785588752196837,0.8528138528138528
9,0.2722933901101351,0.954979380013715,0.47110381484031677,0.8812529005850623,0.825,0.8611599297012302,0.7359307359307359
10,0.25992484331130983,0.9586489017554056,0.4634266346693039,0.8834440310714476,0.80125,0.8014059753954306,0.8008658008658008
11,0.23500703096389772,0.9664823120218984,0.4632027894258499,0.8896065855644062,0.8175,0.8260105448154658,0.7965367965367965
12,0.21763089574873448,0.9713651931592175,0.4602710866928101,0.8937225633183455,0.82,0.8242530755711776,0.8095238095238095
13,0.19627830564975737,0.9771066863463589,0.47939813673496245,0.8962940984030615,0.84,0.8822495606326889,0.7359307359307359
14,0.1837057539448142,0.9794939887658591,0.4731608021259308,0.8986297826368126,0.8275,0.859402460456942,0.7489177489177489
15,0.16998242150992154,0.9826278277685015,0.5759863185882569,0.8883740746658144,0.8425,0.9103690685413005,0.6753246753246753
16,0.1689809837192297,0.9828723992318082,0.4983232343196869,0.8989949710512101,0.83125,0.8646748681898067,0.7489177489177489
17,0.14674260582774878,0.9871241435249825,0.5022458982467651,0.9012393581813616,0.835,0.8629173989455184,0.7662337662337663
18,0.1455833773314953,0.98671098396561,0.5129637742042541,0.9016958436993587,0.83625,0.8664323374340949,0.7619047619047619
19,0.12531116949394344,0.9908762971785476,0.4981688928604126,0.9048760261414039,0.83625,0.8541300527240774,0.7922077922077922
20,0.12277070350944996,0.9910529585073827,0.5074740314483642,0.9060096318444297,0.83625,0.8646748681898067,0.7662337662337663
21,0.11947839172556997,0.9913844359469711,0.5378503221273422,0.9021295049414558,0.83875,0.8734622144112478,0.7532467532467533
22,0.12092996506020427,0.990362459657581,0.544975318312645,0.900303562869468,0.83875,0.8804920913884007,0.7359307359307359
23,0.11113054739311337,0.9924975922770506,0.5844096165895462,0.8996264426844391,0.8475,0.8998242530755711,0.7186147186147186
24,0.10401781659573317,0.9938163785947257,0.5364596366882324,0.9026316390112524,0.83375,0.8734622144112478,0.7359307359307359
25,0.1179850067012012,0.991064830908514,0.5464934241771698,0.9023501396084874,0.835,0.8717047451669596,0.7445887445887446
