epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.7012178235735212,0.5775555011119068,0.7051532564163208,0.6134186666666668,0.424,0.30666666666666664,0.776
2,1,0.6846461253847395,0.6414748313293883,0.6824320793151856,0.6651093333333333,0.586,0.552,0.688
3,1,0.6735476434571402,0.669514357418366,0.6776295924186706,0.66208,0.596,0.592,0.608
4,1,0.6577238433020456,0.7058558855678263,0.665736478805542,0.7062186666666667,0.608,0.5786666666666667,0.696
5,1,0.6437902173314776,0.7320885630645912,0.6738349070549011,0.7173546666666668,0.54,0.44533333333333336,0.824
6,1,0.629055091381073,0.7569670856733632,0.6572546339035035,0.7319466666666666,0.596,0.536,0.776
7,2,0.5811242754799979,0.8236718759815561,0.5409201169013977,0.8729386666666666,0.824,0.8613333333333333,0.712
8,2,0.4711103044237409,0.9208810762252961,0.4996500506401062,0.9149653333333334,0.81,0.7893333333333333,0.872
9,2,0.40728300169536047,0.9599843108062266,0.5085043201446533,0.916096,0.786,0.752,0.888
10,2,0.35600286289623806,0.980805865465556,0.48939186525344847,0.9141760000000001,0.854,0.8586666666666667,0.84
11,2,0.3201012620925903,0.9915327038809946,0.49105979776382447,0.9153706666666667,0.876,0.9146666666666666,0.76
12,2,0.3016082441125597,0.9956489578229242,0.4597795557975769,0.9375359999999999,0.888,0.92,0.792
13,2,0.281859534740448,0.9983647274257785,0.4736598014831543,0.9287253333333334,0.886,0.928,0.76
14,2,0.2828636976650783,0.9970033090221502,0.45394839668273923,0.9409066666666667,0.884,0.896,0.848
15,2,0.2663052887916565,0.9996945397208298,0.457808198928833,0.9431466666666667,0.894,0.9333333333333333,0.776
16,2,0.26380973747798375,0.9996886503838277,0.4530841994285584,0.9497813333333335,0.888,0.92,0.792
17,2,0.26037387110505783,0.9995991324613973,0.4512069535255432,0.9380266666666667,0.894,0.9146666666666666,0.832
18,2,0.25772461114610945,0.9998013330317992,0.46299859023094175,0.9323520000000001,0.878,0.896,0.824
19,2,0.25854258183070594,0.9991908050959255,0.4449591598510742,0.9417386666666666,0.882,0.896,0.84
20,2,0.2550971573420933,0.9999069484753684,0.4644457902908325,0.9328426666666667,0.894,0.9226666666666666,0.808
21,2,0.25840956010137284,0.9997546109582501,0.46463540363311767,0.9344426666666666,0.89,0.9173333333333333,0.808
22,2,0.25191268709727693,0.9999846877237948,0.47021524906158446,0.9341226666666668,0.888,0.928,0.768
23,2,0.25100105539390016,0.9999858655911952,0.4699463143348694,0.9334613333333333,0.89,0.9386666666666666,0.744
24,2,0.25128039557593207,0.9999835098563944,0.4548441843986511,0.936768,0.896,0.9253333333333333,0.808
