epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.699569922379085,0.5952498178231753,0.7082372975349426,0.6599253333333333,0.41,0.25066666666666665,0.888
2,1,0.6913430038860866,0.6288296395411657,0.6776933746337891,0.6535466666666667,0.612,0.6213333333333333,0.584
3,1,0.6725152592658996,0.6802584712223437,0.6848569769859314,0.6468266666666667,0.602,0.5973333333333334,0.616
4,1,0.6881395983014787,0.658182095159122,0.7180085239410401,0.6653226666666666,0.446,0.30666666666666664,0.864
5,1,0.6799526094027928,0.6654933144246353,0.6906788573265076,0.6766293333333333,0.524,0.4186666666666667,0.84
6,1,0.6747933569635663,0.6807908672873242,0.6862728605270386,0.6750293333333333,0.558,0.496,0.744
7,2,0.631451395886285,0.7533906876232834,0.5569664092063904,0.8555733333333333,0.756,0.7413333333333333,0.8
8,2,0.513391899245126,0.8912447545638436,0.49010551834106447,0.9187413333333333,0.824,0.7973333333333333,0.904
9,2,0.4475094252995082,0.9390881578782054,0.4778011846542358,0.9251626666666666,0.844,0.824,0.904
10,2,0.39324982833862304,0.9677068021057128,0.47267975854873656,0.9252266666666666,0.846,0.8426666666666667,0.856
11,2,0.357469030720847,0.9817289208850024,0.4945164122581482,0.9089706666666668,0.872,0.904,0.776
12,2,0.32042379202161514,0.9915099317779202,0.4758317489624023,0.9242453333333334,0.872,0.8933333333333333,0.808
13,2,0.3037089502470834,0.9953069836543414,0.4827668991088867,0.9239466666666666,0.862,0.8986666666666666,0.752
14,2,0.28375707731928146,0.9979885951025844,0.47070397186279295,0.9283626666666668,0.88,0.9146666666666666,0.776
15,2,0.2838411872046334,0.9974236113728594,0.47091950464248655,0.9378133333333333,0.886,0.936,0.736
16,2,0.2764328386102404,0.9969697398012388,0.44952730131149293,0.9393706666666667,0.884,0.8906666666666667,0.864
17,2,0.2652776402575629,0.9995280677949065,0.4800130481719971,0.930688,0.884,0.9333333333333333,0.736
18,2,0.2627175842012678,0.9996246529217394,0.4737026505470276,0.932288,0.882,0.9226666666666666,0.76
19,2,0.26060334747178215,0.9996764790873569,0.4743812232017517,0.9364693333333334,0.872,0.896,0.8
20,2,0.25930157683576854,0.9990985388162276,0.45375873470306394,0.940928,0.888,0.9146666666666666,0.808
21,2,0.2533774999209813,0.9999418918749136,0.4590915670394897,0.9361280000000001,0.892,0.9226666666666666,0.8
22,2,0.25344060625348774,0.9999363951603784,0.46567277193069456,0.935488,0.878,0.9066666666666666,0.792
23,2,0.2515048606736319,0.9999693754475897,0.45926283597946166,0.9420586666666667,0.888,0.912,0.816
24,2,0.25384568013463704,0.9999199050167729,0.45236644744873045,0.945792,0.892,0.9226666666666666,0.8
25,2,0.2505943706376212,0.9999756574070584,0.45638618564605715,0.9456,0.894,0.9226666666666666,0.808
26,2,0.25074669677870615,0.9999434623647808,0.45511584234237673,0.9458133333333334,0.884,0.912,0.8
27,2,0.24968083163670132,0.9999972516427325,0.45084715938568115,0.948672,0.886,0.912,0.808
28,2,0.25032641807624273,0.9999854729687284,0.4550368776321411,0.9450240000000001,0.892,0.9146666666666666,0.824
29,2,0.24782459480421884,0.9999976442651992,0.45162443828582766,0.9477546666666666,0.894,0.92,0.816
30,2,0.24815237178121294,0.9999929327955975,0.454655996799469,0.94752,0.89,0.9226666666666666,0.792
31,2,0.24870316587175642,0.9999948959079316,0.4532529487609863,0.9460266666666667,0.89,0.9173333333333333,0.808
