image_id,label,split,group,keep
001469,1,train,0,True
001392,1,train,1,True
004755,1,train,2,True
003890,1,train,3,True
000557,0,train,4,True
000819,1,train,5,True
001543,1,train,6,True
004263,1,train,7,True
000196,1,train,8,True
004252,1,train,9,True
003622,1,train,10,True
002336,1,train,11,True
002908,0,train,12,True
001609,1,train,13,True
003350,1,train,14,True
003719,1,train,15,True
003017,1,train,16,True
001147,1,train,17,True
004708,0,train,18,True
003637,1,train,19,True
001563,1,train,20,True
003501,0,train,21,True
003357,1,train,22,True
003910,1,train,23,True
002445,0,train,24,True
000045,0,train,25,True
000158,0,train,26,True
002544,1,train,27,True
001506,1,train,28,True
003451,0,train,29,True
002741,1,train,30,True
002141,1,train,31,True
001136,1,train,32,True
004490,1,train,33,False
003727,1,train,34,True
003104,1,train,35,True
001114,1,train,36,True
001849,0,train,37,True
000480,0,train,38,True
000869,1,train,39,True
002922,0,train,40,True
001424,1,train,41,True
003860,1,train,42,True
001433,1,train,43,True
004768,1,train,44,True
001636,1,train,45,True
004861,1,train,46,True
000622,0,train,47,True
003260,1,train,48,True
000346,0,train,49,True
003568,0,train,50,True
004800,1,train,51,True
000930,1,train,52,True
000340,0,train,53,True
004137,0,train,54,True
002972,0,train,55,True
004652,0,train,56,True
000211,0,train,57,True
004805,1,train,58,True
000007,0,train,59,True
004584,1,train,60,True
002940,0,train,61,False
000619,1,train,62,True
001250,1,train,63,True
003894,1,train,64,True
003125,1,train,65,True
001544,1,train,66,True
002344,0,train,67,True
003980,1,train,68,True
001953,1,train,69,True
004187,1,train,70,True
003530,0,train,71,True
002612,1,train,72,True
004683,0,train,73,True
001356,1,train,74,True
000883,1,train,75,True
001635,1,train,76,True
001277,1,train,77,True
002302,1,train,78,True
001531,1,train,79,True
001089,1,train,80,True
004839,1,train,81,True
002355,1,train,82,True
001222,1,train,83,True
001472,1,train,84,True
002719,1,train,85,True
004360,1,train,86,True
000963,1,train,87,True
003450,0,train,88,True
001366,1,train,89,True
000295,0,train,90,True
003641,1,train,91,True
001164,1,train,92,True
000625,0,train,93,True
000733,1,train,94,True
003250,1,train,95,True
002024,1,train,96,True
000243,0,train,97,True
002170,1,train,98,True
001149,1,train,99,True
003335,1,train,100,True
001592,1,train,101,True
004480,1,train,102,True
002003,1,train,103,True
003947,1,train,104,True
002934,0,train,105,True
